City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Patricio,US,73.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
1,Eyl,SO,78.67,clear sky,7.9803,49.8164,Amiin Hotel
3,Cape Town,ZA,65.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Chabahar,IR,76.51,clear sky,25.2919,60.643,هتل گدروشیا
5,Port Alfred,ZA,67.3,overcast clouds,-33.5906,26.891,The Halyards Hotel
7,Darnah,LY,61.88,overcast clouds,32.767,22.6367,فندق الفردوس
8,Bluff,NZ,62.15,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,Port Elizabeth,ZA,61.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
16,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
18,Afua,BR,75.31,moderate rain,-0.1567,-50.3867,Hotel Dias
21,Mayumba,GA,76.5,light rain,-3.432,10.6554,LIKWALE LODGE
24,Harlingen,US,74.19,mist,26.1906,-97.6961,Courtyard by Marriott Harlingen
27,Maragogi,BR,77.32,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
31,Tabuk,PH,67.3,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
36,Manakara,MG,79.66,light rain,-22.1333,48.0167,La Residence Manakara
42,Mataura,NZ,65.86,overcast clouds,-46.1927,168.8643,Ellie's Villa
45,Puerto Ayora,EC,67.37,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Rikitea,PF,76.42,broken clouds,-23.1203,-134.9692,People ThankYou
53,Hermanus,ZA,64.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
54,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,Airai,TL,72.63,overcast clouds,-8.9266,125.4092,Juvinal Martin
57,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
59,Kapaa,US,71.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Vila Franca Do Campo,PT,61.2,clear sky,37.7167,-25.4333,Pestana Bahia Praia
64,Arraial Do Cabo,BR,70.5,clear sky,-22.9661,-42.0278,Pousada Porto Praia
66,Sao Raimundo Das Mangabeiras,BR,74.48,broken clouds,-7.0219,-45.4811,Hotel Tropical
72,Caravelas,BR,70.7,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
78,Puerto Ayacucho,VE,75.92,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
84,Piacabucu,BR,77.59,broken clouds,-10.4056,-36.4344,Piaçabuçu News
86,Namibe,AO,70.66,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
90,Umm Lajj,SA,74.97,scattered clouds,25.0213,37.2685,Moon light Furnished Units
93,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
96,Atuona,PF,78.67,clear sky,-9.8,-139.0333,Villa Enata
97,East London,ZA,65.34,broken clouds,-33.0153,27.9116,Tu Casa
99,Sawtell,AU,73.72,broken clouds,-30.3833,153.1,The Bungalow Sawtell
102,Hobart,AU,60.03,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
103,Bhinga,IN,76.42,few clouds,27.7167,81.9333,Kakardari office
104,Dakar,SN,70.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
106,Jashpurnagar,IN,75.65,overcast clouds,22.9,84.15,Sagar Restaurant
