City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Patricio,US,28.017,-97.5169,73.26,90,3,9.1,clear sky
1,Eyl,SO,7.9803,49.8164,78.67,56,2,16.84,clear sky
2,Upernavik,GL,72.7868,-56.1549,8.58,65,81,8.55,broken clouds
3,Cape Town,ZA,-33.9258,18.4232,65.12,62,20,23.02,few clouds
4,Chabahar,IR,25.2919,60.643,76.51,58,0,5.26,clear sky
5,Port Alfred,ZA,-33.5906,26.891,67.3,76,100,7.76,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,49.66,53,40,23.02,scattered clouds
7,Darnah,LY,32.767,22.6367,61.88,41,100,8.37,overcast clouds
8,Bluff,NZ,-46.6,168.3333,62.15,88,85,0.29,overcast clouds
9,Castro,BR,-24.7911,-50.0119,58.39,88,88,9.71,overcast clouds
10,Talnakh,RU,69.4865,88.3972,-29.79,97,87,12.28,overcast clouds
11,Sorland,NO,67.667,12.6934,31.26,57,56,24.61,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,46.51,81,75,12.66,broken clouds
13,Port Elizabeth,ZA,-33.918,25.5701,61.11,77,100,5.99,overcast clouds
14,Ossora,RU,59.2353,163.0719,16.77,84,83,5.93,broken clouds
15,Fairlie,GB,55.756,-4.8556,44.01,90,98,13.33,moderate rain
16,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,69,75,7.0,broken clouds
17,Dikson,RU,73.5069,80.5464,-22.0,97,68,10.2,broken clouds
18,Afua,BR,-0.1567,-50.3867,75.31,94,100,3.47,moderate rain
19,Elat,IL,29.5581,34.9482,58.84,55,0,9.22,clear sky
20,Krasnyy Kommunar,RU,51.9644,55.3668,35.67,86,90,11.18,overcast clouds
21,Mayumba,GA,-3.432,10.6554,76.5,90,99,4.09,light rain
22,Elko,US,41.0002,-115.5012,37.63,63,1,1.92,clear sky
23,Saskylakh,RU,71.9167,114.0833,-16.55,97,100,12.73,overcast clouds
24,Harlingen,US,26.1906,-97.6961,74.19,99,1,6.91,mist
25,Busselton,AU,-33.65,115.3333,85.08,35,9,4.63,clear sky
26,Saint-Pierre,RE,-21.3393,55.4781,85.64,69,0,6.91,clear sky
27,Maragogi,BR,-9.0122,-35.2225,77.32,85,29,8.37,scattered clouds
28,Bethel,US,41.3712,-73.414,37.49,68,90,0.0,overcast clouds
29,Rosarito,MX,32.3333,-117.0333,59.13,84,6,7.49,clear sky
30,Morehead,US,37.2711,-87.1764,58.98,87,1,0.0,clear sky
31,Tabuk,PH,17.4189,121.4443,67.3,89,100,9.93,overcast clouds
32,Enshi,CN,30.3,109.4833,59.99,55,97,1.01,overcast clouds
33,Vaini,TO,-21.2,-175.2,82.56,89,20,10.36,light rain
34,Lavrentiya,RU,65.5833,-171.0,24.98,95,100,7.34,light snow
35,Butaritari,KI,3.0707,172.7902,83.03,74,93,13.8,overcast clouds
36,Manakara,MG,-22.1333,48.0167,79.66,75,38,6.06,light rain
37,Constitucion,CL,-35.3333,-72.4167,53.15,65,8,6.71,clear sky
38,Isangel,VU,-19.55,169.2667,86.11,62,75,9.22,broken clouds
39,Geraldton,AU,-28.7667,114.6,93.61,27,0,21.85,clear sky
40,Saint-Philippe,RE,-21.3585,55.7679,85.55,78,20,12.37,few clouds
41,Dingle,PH,10.9995,122.6711,81.1,76,95,13.31,overcast clouds
42,Mataura,NZ,-46.1927,168.8643,65.86,96,97,3.06,overcast clouds
43,Saint-Francois,FR,46.4154,3.9054,51.24,82,90,8.05,overcast clouds
