City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Huntsville,US,2021-11-29 21:07:36,34.7304,-86.5861,52.92,32,1,1.99
1,Jamestown,US,2021-11-29 21:05:31,42.097,-79.2353,35.19,87,90,4.0
2,Kokoda,PG,2021-11-29 21:07:36,-8.8785,147.7407,78.15,91,88,0.92
3,Mar Del Plata,AR,2021-11-29 21:07:37,-38.0023,-57.5575,60.87,90,1,18.01
4,Punta Arenas,CL,2021-11-29 21:05:04,-53.15,-70.9167,51.91,46,40,27.63
5,Esperance,AU,2021-11-29 21:07:37,-33.8667,121.9,59.36,70,100,12.19
6,Atuona,PF,2021-11-29 21:07:37,-9.8,-139.0333,78.82,76,32,23.06
7,Dudinka,RU,2021-11-29 21:07:37,69.4058,86.1778,-14.62,96,100,6.22
8,Kedrovyy,RU,2021-11-29 21:07:38,56.1667,91.8167,23.41,88,99,6.8
9,Paamiut,GL,2021-11-29 21:03:12,61.994,-49.6678,32.77,97,100,32.37
10,Rawson,AR,2021-11-29 21:07:38,-43.3002,-65.1023,63.21,50,1,13.49
11,Ilulissat,GL,2021-11-29 21:07:38,69.2167,-51.1,32.02,93,100,2.3
12,Araguacu,BR,2021-11-29 21:07:39,-12.9306,-49.8264,78.69,83,98,3.42
13,Port Alfred,ZA,2021-11-29 21:07:39,-33.5906,26.891,67.84,88,88,8.32
14,Aranos,NA,2021-11-29 21:07:39,-24.1333,19.1167,70.16,9,0,6.13
15,Sohag,EG,2021-11-29 21:07:39,26.557,31.6948,76.55,19,4,4.74
16,Castro,BR,2021-11-29 21:07:40,-24.7911,-50.0119,72.43,80,33,6.96
17,Cherskiy,RU,2021-11-29 21:07:40,68.75,161.3,-15.07,97,100,5.75
18,Dehloran,IR,2021-11-29 21:07:41,32.6941,47.2679,68.41,35,2,5.12
19,Takoradi,GH,2021-11-29 21:06:55,4.8845,-1.7554,79.54,83,83,7.23
20,Los Llanos De Aridane,ES,2021-11-29 21:07:41,28.6585,-17.9182,60.55,86,75,3.0
21,Ushuaia,AR,2021-11-29 21:03:56,-54.8,-68.3,44.26,61,40,21.85
22,Kahului,US,2021-11-29 21:07:41,20.8947,-156.47,78.82,76,20,13.8
23,Tazovskiy,RU,2021-11-29 21:07:41,67.4667,78.7,-2.63,96,100,12.24
24,Constitucion,CL,2021-11-29 21:06:55,-35.3333,-72.4167,62.76,66,7,19.42
25,Sambava,MG,2021-11-29 21:07:42,-14.2667,50.1667,75.67,84,31,5.99
26,Makakilo City,US,2021-11-29 21:07:42,21.3469,-158.0858,77.32,66,90,11.5
27,Siocon,PH,2021-11-29 21:07:42,7.7061,122.1353,78.46,85,86,5.26
28,Imbituba,BR,2021-11-29 21:07:43,-28.24,-48.6703,82.29,81,0,2.06
29,Iskateley,RU,2021-11-29 21:07:43,67.6803,53.1512,9.75,96,98,8.1
30,Isangel,VU,2021-11-29 21:07:43,-19.55,169.2667,82.65,70,7,2.59
31,Diapaga,BF,2021-11-29 21:07:43,12.0708,1.7889,79.21,13,76,6.73
32,Bambous Virieux,MU,2021-11-29 21:07:44,-20.3428,57.7575,74.21,83,20,4.61
33,Aden,YE,2021-11-29 21:03:56,12.7794,45.0367,80.08,64,1,5.95
34,East London,ZA,2021-11-29 21:07:44,-33.0153,27.9116,69.01,84,29,10.0
35,Rikitea,PF,2021-11-29 21:04:16,-23.1203,-134.9692,76.5,75,3,22.53
36,Nanakuli,US,2021-11-29 21:06:57,21.3906,-158.1547,78.75,64,90,11.5
37,Bredasdorp,ZA,2021-11-29 21:07:44,-34.5322,20.0403,56.28,62,49,8.32
38,Tsurib,RU,2021-11-29 21:07:45,42.2368,46.8307,46.92,34,50,11.39
39,Busselton,AU,2021-11-29 21:07:45,-33.65,115.3333,56.05,69,19,9.04
40,Cape Town,ZA,2021-11-29 21:08:46,-33.9258,18.4232,67.08,71,36,5.7
41,Tuktoyaktuk,CA,2021-11-29 21:08:46,69.4541,-133.0374,-13.13,95,100,13.71
42,Saint-Philippe,RE,2021-11-29 21:08:46,-21.3585,55.7679,76.55,85,61,7.76
